Entry,YEAR,COMPLEX,MEADOW,DATE,WATCH,OBSERVER,PLOT,STATUS,SPP_CODE,SPP_NAME,NO_STALK,NO_FLW,TOT_FLW,OLD_TOT_FLW
67,2013,Carpenter,CPB,7/16/2013,3,Kyra,3,FLW,ACHIMILL,Achillea millefolium,2,1,2,55
1846,2013,Lookout,LS,7/15/2013,3,Kyra,10,FLW,ACHIMILL,Achillea millefolium,2,1,2,240
16,2014,Carpenter,CPB,7/4/2014,1,JL,7,FLW,ACHIMILL,Achillea millefolium,1,4,4,5
218,2013,Carpenter,CPB,8/14/2013,7,Vera,2,FLW,ACHIMILL,Achillea millefolium,1,5,5,25
225,2013,Carpenter,CPB,8/14/2013,7,Vera,6,FLW,ACHIMILL,Achillea millefolium,1,5,5,5
556,2013,Carpenter,CPM,8/13/2013,7,ALR,3,FLW,ACHIMILL,Achillea millefolium,1,5,5,2
15,2014,Carpenter,CPB,7/31/2014,4,AM,5,FLW,ACHIMILL,Achillea millefolium,1,6,6,7
173,2014,Lookout,LS,7/11/2014,2,AM,9,FLW,ACHIMILL,Achillea millefolium,1,6,6,12
172,2014,Lookout,LS,8/1/2014,4,AM,8,FLW,ACHIMILL,Achillea millefolium,1,6,6,6
479,2013,Carpenter,CPM,7/22/2013,4,Kyra,7,FLW,ACHIMILL,Achillea millefolium,1,7,7,4
575,2013,Carpenter,CPM,8/13/2013,7,Vera,7,FLW,ACHIMILL,Achillea millefolium,1,7,7,1050
30,2014,Carpenter,CPM,7/2/2014,1,RD,1,FLW,ACHIMILL,Achillea millefolium,1,7,7,5
98,2013,Carpenter,CPB,7/16/2013,3,Scott,9,FLW,ACHIMILL,Achillea millefolium,1,8,8,1
193,2013,Carpenter,CPB,8/6/2013,6,Noelle,3,FLW,ACHIMILL,Achillea millefolium,1,9,9,52.5
2358,2013,Frissel,M2,8/21/2013,7,Vera,5,FLW,ACHIMILL,Achillea millefolium,1,9,9,1
2669,2013,Frissel,RP1,7/11/2013,2,Noelle,5,FLW,ACHIMILL,Achillea millefolium,1,9,9,48
1960,2013,Lookout,LS,8/20/2013,7,ALR,10,FLW,ACHIMILL,Achillea millefolium,1,10,10,14
9,2014,Carpenter,CPB,7/29/2014,3,IP,3,FLW,ACHIMILL,Achillea millefolium,5,2,10,36
136,2014,Lookout,LO,8/5/2014,5,IP,9,FLW,ACHIMILL,Achillea millefolium,1,10,10,15
207,2014,Frissel,NE,7/8/2014,1,IP,2,FLW,ACHIMILL,Achillea millefolium,1,11,11,21
