PlantCode,Biom/flwr,PlantName,LifeForm,LifeForm_Sneha,FlowerForm,FlowerForm_Sneha,FunctExclusion,ExclusionFeeble,ExclusionTubeClass,ExclusionTubePlantCode,generalShapeExclusion,SpecialistPollinators,SpecialistVectorsTBE,ExclusionClosed,ExclusionVisibility,EXVisible_Sneha,ExclusionPendant,ExclusionDiel,EXDiel_Sneha,ExclusionHandling,EXHandle_Sneha,ExclusionPlatform,ExclusionEtc,EdaphicCommunity,Compatibility,ImmigrationTraits
COMAUMBE,2.835,Comandra umbellata,taprooted perennial,P,bowl & platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,forest ecotone,NA,standard
FRAGVESC,4.0824,Fragaria vesca,herbaceous perennial,P,bowl & platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,Fragaria,Andrena,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,deep soil,self-compatible,fruit
FRAGVIRG,4.0824,Fragaria virginiana,herbaceous perennial,P,bowl & platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,Fragaria,Andrena,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,talus,self-compatible,fruit
POTEGLAN,2.1294,Potentilla glandulosa,herbaceous perennial,P,bowl & platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,Potentilla,"Andrena,Panurginus,Pyrgus ruralis",open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,deep soil,self-compatible,standard
POTEGRAC,2.1294,Potentilla gracilis,herbaceous perennial,P,bowl & platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,Potentilla,"Andrena,Panurginus,Pyrgus ruralis",open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,Microhabitat,self-compatible,standard
AMELALNI,9.84375,Amelanchier alnifolia,shrub,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,both seep & talus,self-incompatible,fruit
BARBORTH,0.5,Barbarea orthoceras,herbaceous perennial,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,none,Pieris,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,forest ecotone,self-compatible,standard
CALOSUBA,22.5792,Calochortus subalpinus,bulb,A,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,Calochortus,Perdita,open access,bright,bright,erect,diurnal only,nonight,average,okay,platform,none,seep,NA,standard
CLINUNIF,1.6,Clintonia uniflora,bulb,A,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,suspended,diurnal only,nonight,average,okay,not useful,none,deep soil,self-compatible,fruit
ERIONUDU,10.7163,Eriogonum nudum,herbaceous perennial,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,Eriogonum nudum,Saxinis,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,talus,NA,standard
ERIOSPER,2.01,Eriogonum spergulinum,herbaceous perennial,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,talus,self-compatible,standard
HYPEANAG,0.06,Hypericum anagalloides,herbaceous perennial,P,bowl or platform,bowl/platform,exclude tiny,feeble,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,seep,self-compatible,standard
HYPEPERF,1.9057,Hypericum perforatum,herbaceous perennial,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,both talus and shallow soil,NA,standard
LINACAPI,0.05,Linanthus capillaris,annual,A,bowl or platform,bowl/platform,exclude tiny,feeble,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,seep,self-compatible,standard
LITHPARV,1.26,Lithophragma parviflora,herbaceous perennial,P,bowl or platform,bowl/platform,exclude tiny,strong,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,seep,self-incompatible,standard
LITHTENE,0.86,Lithophragme tenellum,herbaceous perennial,P,bowl or platform,bowl/platform,exclude tiny,feeble,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,seep,self-incompatible,standard
RANUUNCI,0.08505,Ranunculus uncinatus,herbaceous perennial,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,forest ecotone,apomictic,standard
SAGISAGI,0.01,Sagina saginoides,annual,A,bowl or platform,bowl/platform,exclude none,feeble,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,shallow soil,self-compatible,standard
SEDUOREG,130.41,Sedum oreganum,succulent,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,Sedum,Parnassius phoebus,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,talus,NA,standard
SEDUSPAT,229.635,Sedum spathulifolium,succulent,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,Sedum,Parnassius phoebus,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,talus,NA,standard
SEDUSTEN,229.635,Sedum stenopetalum,succulent,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,Sedum,Parnassius phoebus,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,talus,NA,standard
STELCRIS,0.04,Stellaria crispa,herbaceous perennial,P,bowl or platform,bowl/platform,exclude none,strong,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,shallow soil,self-compatible,standard
TILLERCT,0.02,Tillaea erecta,annual,A,bowl or platform,bowl/platform,exclude none,feeble,bowl/plate-shaped,1,close to bowl,none,,open access,bright,bright,erect,diurnal only,nonight,average,okay,not useful,none,deep soil,self-compatible,standard
